指标,阶段A(基线),阶段B(去重注入),阶段C(关闭注入)
分支,main(原版),fix/issue-120,fix/issue-120
prependContext,N/A(不存在),true(有去重),false
showInjected,N/A,false,false
对话轮数,72(72成功),72(71成功),72(72成功)
运行时长(min),17.9,29.2,14.0
缓存命中tokens,2386944,2824960,2639488
缓存未命中tokens,159813,279454,118808
缓存命中率(%),93.72,91.00,95.69
逐轮命中率(排除冷启动),~100%,~100%,~100%
Prompt tokens,521716,830372,248161
Completion tokens,55542,47553,37858
注入记忆数,0,active,0
L1提取,44,16,31
L2提取,19,9,14
L3画像生成,1,1,1
Pipeline触发,54,18,41
Agent Turn,304,73,72
